Reference	Query
1.fa_orf00007_rev	9.fa_orf00434
1.fa_orf00011	9.fa_orf02146_rev
1.fa_orf00013_rev	9.fa_orf02010_rev
1.fa_orf00023	9.fa_orf00319
1.fa_orf00026_rev	9.fa_orf00103_rev
1.fa_orf00027	9.fa_orf01789_rev
1.fa_orf00030_rev	9.fa_orf01275_rev
1.fa_orf00031	9.fa_orf01925_rev
1.fa_orf00033_rev	9.fa_orf02321
1.fa_orf00037	9.fa_orf02239
1.fa_orf00039_rev	9.fa_orf01441_rev
1.fa_orf00041_rev	9.fa_orf01734_rev
1.fa_orf00043_rev	9.fa_orf02492_rev
1.fa_orf00044_rev	9.fa_orf00894
1.fa_orf00045_rev	9.fa_orf00572
1.fa_orf00047	9.fa_orf00970
1.fa_orf00052	9.fa_orf01794_rev
1.fa_orf00059	9.fa_orf01857_rev
1.fa_orf00068_rev	9.fa_orf01217_rev
1.fa_orf00070_rev	9.fa_orf00998
1.fa_orf00077	9.fa_orf02377_rev
1.fa_orf00080_rev	9.fa_orf01478
1.fa_orf00081_rev	9.fa_orf01987
1.fa_orf00083	9.fa_orf01898_rev
1.fa_orf00084_rev	9.fa_orf00042
1.fa_orf00088	9.fa_orf01827_rev
1.fa_orf00089	9.fa_orf01390_rev
1.fa_orf00090_rev	9.fa_orf00142
1.fa_orf00093_rev	9.fa_orf01811_rev
1.fa_orf00094_rev	9.fa_orf00184
1.fa_orf00100_rev	9.fa_orf02070_rev
1.fa_orf00102_rev	9.fa_orf00807
1.fa_orf00103	9.fa_orf00846
1.fa_orf00105	9.fa_orf00036_rev
1.fa_orf00108	9.fa_orf00810
1.fa_orf00110	9.fa_orf02152
1.fa_orf00112	9.fa_orf00347_rev
1.fa_orf00114	9.fa_orf02399_rev
1.fa_orf00115_rev	9.fa_orf01223_rev
1.fa_orf00116_rev	9.fa_orf00820
1.fa_orf00120_rev	9.fa_orf00335
1.fa_orf00121_rev	9.fa_orf01748_rev
1.fa_orf00124	9.fa_orf01285_rev
1.fa_orf00125	9.fa_orf01954
1.fa_orf00127	9.fa_orf00600
1.fa_orf00129_rev	9.fa_orf02117_rev
1.fa_orf00131_rev	9.fa_orf01149_rev
1.fa_orf00132_rev	9.fa_orf02150
1.fa_orf00133	9.fa_orf00578
1.fa_orf00134	9.fa_orf00111
1.fa_orf00136	9.fa_orf02647_rev
1.fa_orf00137	9.fa_orf01808_rev
1.fa_orf00138_rev	9.fa_orf01706_rev
1.fa_orf00139	9.fa_orf02438_rev
1.fa_orf00144	9.fa_orf02433_rev
1.fa_orf00146_rev	9.fa_orf00563_rev
1.fa_orf00147_rev	9.fa_orf01052_rev
1.fa_orf00148	9.fa_orf00855
1.fa_orf00150	9.fa_orf01563_rev
1.fa_orf00152_rev	9.fa_orf00857
1.fa_orf00154	9.fa_orf00701
1.fa_orf00155_rev	9.fa_orf02483_rev
1.fa_orf00158	9.fa_orf00822
1.fa_orf00159_rev	9.fa_orf00668
1.fa_orf00160_rev	9.fa_orf01122_rev
1.fa_orf00161	9.fa_orf00927
1.fa_orf00164_rev	9.fa_orf00845
1.fa_orf00167_rev	9.fa_orf02160
1.fa_orf00170_rev	9.fa_orf01215_rev
1.fa_orf00172_rev	9.fa_orf00542
1.fa_orf00173_rev	9.fa_orf00844
1.fa_orf00174	9.fa_orf00660_rev
1.fa_orf00175_rev	9.fa_orf01256_rev
1.fa_orf00176	9.fa_orf01895_rev
1.fa_orf00178	9.fa_orf01554_rev
1.fa_orf00179	9.fa_orf02206_rev
1.fa_orf00181_rev	9.fa_orf02258_rev
1.fa_orf00184_rev	9.fa_orf00827
1.fa_orf00185	9.fa_orf01481_rev
1.fa_orf00188	9.fa_orf02274_rev
1.fa_orf00189_rev	9.fa_orf00228
1.fa_orf00191_rev	9.fa_orf00759
1.fa_orf00193_rev	9.fa_orf00712
1.fa_orf00194_rev	9.fa_orf02210
1.fa_orf00196	9.fa_orf00734
1.fa_orf00198_rev	9.fa_orf00586
1.fa_orf00201	9.fa_orf00208_rev
1.fa_orf00205	9.fa_orf02087
1.fa_orf00208	9.fa_orf01131_rev
1.fa_orf00209	9.fa_orf00710_rev
1.fa_orf00210	9.fa_orf00634_rev
1.fa_orf00212	9.fa_orf02334_rev
1.fa_orf00213_rev	9.fa_orf01004
1.fa_orf00215	9.fa_orf02606
1.fa_orf00216_rev	9.fa_orf01465
1.fa_orf00221_rev	9.fa_orf02064_rev
1.fa_orf00223_rev	9.fa_orf00554
1.fa_orf00227	9.fa_orf02217_rev
1.fa_orf00229_rev	9.fa_orf00828
1.fa_orf00231_rev	9.fa_orf02640_rev
1.fa_orf00232_rev	9.fa_orf02234
1.fa_orf00234_rev	9.fa_orf01178_rev
1.fa_orf00236_rev	9.fa_orf01733_rev
1.fa_orf00241	9.fa_orf01088_rev
1.fa_orf00243	9.fa_orf01354_rev
1.fa_orf00245	9.fa_orf00739
1.fa_orf00254	9.fa_orf01487_rev
1.fa_orf00255_rev	9.fa_orf00282
1.fa_orf00258_rev	9.fa_orf00635
1.fa_orf00260	9.fa_orf00806
1.fa_orf00262_rev	9.fa_orf01279_rev
1.fa_orf00264	9.fa_orf01044_rev
1.fa_orf00270_rev	9.fa_orf01684
1.fa_orf00275	9.fa_orf02447_rev
1.fa_orf00276	9.fa_orf00110
1.fa_orf00277	9.fa_orf02304_rev
1.fa_orf00282	9.fa_orf00137
1.fa_orf00283	9.fa_orf01545_rev
1.fa_orf00284	9.fa_orf02167_rev
1.fa_orf00286	9.fa_orf00887
1.fa_orf00287	9.fa_orf02244_rev
1.fa_orf00292	9.fa_orf01067_rev
1.fa_orf00295_rev	9.fa_orf00949
1.fa_orf00296_rev	9.fa_orf00272
1.fa_orf00299	9.fa_orf01625_rev
1.fa_orf00301	9.fa_orf01106_rev
1.fa_orf00306_rev	9.fa_orf02423_rev
1.fa_orf00309	9.fa_orf00595
1.fa_orf00311_rev	9.fa_orf00571
1.fa_orf00313_rev	9.fa_orf02113_rev
1.fa_orf00317	9.fa_orf01345_rev
1.fa_orf00323_rev	9.fa_orf01195_rev
1.fa_orf00324_rev	9.fa_orf01860_rev
1.fa_orf00327	9.fa_orf00216_rev
1.fa_orf00329	9.fa_orf01385_rev
1.fa_orf00331	9.fa_orf00440
1.fa_orf00332_rev	9.fa_orf00808
1.fa_orf00333_rev	9.fa_orf00655_rev
1.fa_orf00335	9.fa_orf00929_rev
1.fa_orf00336	9.fa_orf00049_rev
1.fa_orf00338	9.fa_orf01782
1.fa_orf00339	9.fa_orf02153
1.fa_orf00341_rev	9.fa_orf00096
1.fa_orf00342	9.fa_orf00536_rev
1.fa_orf00349	9.fa_orf01216_rev
1.fa_orf00354	9.fa_orf00888
1.fa_orf00357	9.fa_orf02602
1.fa_orf00361	9.fa_orf02638_rev
1.fa_orf00363_rev	9.fa_orf01636_rev
1.fa_orf00364	9.fa_orf00719_rev
1.fa_orf00365	9.fa_orf01412
1.fa_orf00367	9.fa_orf01766_rev
1.fa_orf00369	9.fa_orf02202_rev
1.fa_orf00374_rev	9.fa_orf00147
1.fa_orf00376_rev	9.fa_orf00013_rev
1.fa_orf00384	9.fa_orf00163_rev
1.fa_orf00386	9.fa_orf00069
1.fa_orf00387_rev	9.fa_orf00193
1.fa_orf00389_rev	9.fa_orf01077
1.fa_orf00391_rev	9.fa_orf02330_rev
1.fa_orf00396	9.fa_orf01198_rev
1.fa_orf00399	9.fa_orf01117_rev
1.fa_orf00402_rev	9.fa_orf01186_rev
1.fa_orf00406	9.fa_orf00210_rev
1.fa_orf00409	9.fa_orf00925
1.fa_orf00414_rev	9.fa_orf01878_rev
1.fa_orf00415	9.fa_orf01318
1.fa_orf00420_rev	9.fa_orf02223_rev
1.fa_orf00421	9.fa_orf00617_rev
1.fa_orf00422_rev	9.fa_orf01083_rev
1.fa_orf00423_rev	9.fa_orf01762_rev
1.fa_orf00429_rev	9.fa_orf02566_rev
1.fa_orf00430	9.fa_orf00711_rev
1.fa_orf00433	9.fa_orf01107_rev
1.fa_orf00434_rev	9.fa_orf02364_rev
1.fa_orf00435_rev	9.fa_orf01081_rev
1.fa_orf00438	9.fa_orf01175_rev
1.fa_orf00439_rev	9.fa_orf00412
1.fa_orf00442	9.fa_orf00011
1.fa_orf00443_rev	9.fa_orf02560_rev
1.fa_orf00446_rev	9.fa_orf02276_rev
1.fa_orf00447	9.fa_orf00102
1.fa_orf00448	9.fa_orf00225
1.fa_orf00450_rev	9.fa_orf02531
1.fa_orf00454	9.fa_orf00648
1.fa_orf00457	9.fa_orf01241_rev
1.fa_orf00461	9.fa_orf00059_rev
1.fa_orf00465	9.fa_orf00455
1.fa_orf00466	9.fa_orf01912
1.fa_orf00468	9.fa_orf02481
1.fa_orf00471	9.fa_orf01755_rev
1.fa_orf00473	9.fa_orf02474_rev
1.fa_orf00474	9.fa_orf01783_rev
1.fa_orf00475	9.fa_orf00658_rev
1.fa_orf00477	9.fa_orf00957
1.fa_orf00481	9.fa_orf01101_rev
1.fa_orf00484_rev	9.fa_orf00744
1.fa_orf00485	9.fa_orf00757
1.fa_orf00490	9.fa_orf00869
1.fa_orf00491_rev	9.fa_orf02459_rev
1.fa_orf00492	9.fa_orf00144
1.fa_orf00496	9.fa_orf00653
1.fa_orf00497_rev	9.fa_orf01888_rev
1.fa_orf00499	9.fa_orf02081_rev
1.fa_orf00502	9.fa_orf01159_rev
1.fa_orf00503	9.fa_orf01760_rev
1.fa_orf00507_rev	9.fa_orf00819
1.fa_orf00511_rev	9.fa_orf02442
1.fa_orf00518	9.fa_orf01607_rev
1.fa_orf00523	9.fa_orf01289_rev
1.fa_orf00525_rev	9.fa_orf02014_rev
1.fa_orf00530	9.fa_orf01057_rev
1.fa_orf00531	9.fa_orf00203
1.fa_orf00532	9.fa_orf01251_rev
1.fa_orf00534_rev	9.fa_orf01992_rev
1.fa_orf00539_rev	9.fa_orf00816
1.fa_orf00541_rev	9.fa_orf02325
1.fa_orf00552_rev	9.fa_orf00666_rev
1.fa_orf00554	9.fa_orf01678
1.fa_orf00561_rev	9.fa_orf00786
1.fa_orf00562	9.fa_orf02288_rev
1.fa_orf00565_rev	9.fa_orf00211_rev
1.fa_orf00567_rev	9.fa_orf01339_rev
1.fa_orf00568	9.fa_orf01620_rev
1.fa_orf00569_rev	9.fa_orf01391
1.fa_orf00576	9.fa_orf01781_rev
1.fa_orf00582_rev	9.fa_orf01875_rev
1.fa_orf00586	9.fa_orf00158
